subject,predicate,object
http://www.wikidata.org/entity/Q33123146,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Tyrrelstown%20Holy%20Well.jpg
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P373,"Our Lady's Well, Tyrrelstown"
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P625,Point(-6.391794 53.408406)
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P2186,IE-D-0052
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P4057,DU013-009
http://www.wikidata.org/entity/Q33123155,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P625,Point(-6.473044 53.366907)
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P2186,IE-D-0069
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P4057,DU017-002002
http://www.wikidata.org/entity/Q33123173,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q173500
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q145
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q42617191
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P625,Point(-4.6318199 53.312672)
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q3399340
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q128791689
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P4658,32171
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q67283698
http://www.wikidata.org/entity/Q47490835,http://www.wikidata.org/prop/direct/P12749,Q118109
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q946953
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q34095
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P481,PM25002200
http://www.wikidata.org/entity/Q29190276,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q61058419
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q478559
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q40861
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P481,PM83001477
http://www.wikidata.org/entity/Q29323538,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q61058419
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q145
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Trellech%27s%20holy%20well%20-%20geograph.org.uk%20-%20477787.jpg
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q24665771
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q24665771
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P373,The Virtuous Well (Trellech)
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P613,SO5030305109
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P625,Point(-2.7212023 51.74244)
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q219538
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q15700834
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q128791689
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P1459,2069
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P2044,210.4
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P3007,MM171
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P4658,32405
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P7959,http://www.wikidata.org/entity/Q1245075
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P12485,300002069
http://www.wikidata.org/entity/Q29482202,http://www.wikidata.org/prop/direct/P12749,Q112479
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q124714
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q60553663
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q104264292
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q23640
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P625,Point(-7.4110115 52.5508176)
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P708,http://www.wikidata.org/entity/Q873607
http://www.wikidata.org/entity/Q126491170,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q126374601
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q27
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1049799
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q111286333
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q126443332
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q180231
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q39050811
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q104265284
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q345
