Q-code,Label
Q126491170,Q126491170
Q126499565,Tobar Muire
Q126507417,Q126507417
Q126527039,Mary's Well
Q126528008,6 Inch First Edition Ordnance Survey map of Ireland
Q126540348,25 inch mapping series (Ireland)
Q126555558,6 Inch Last Edition Ordnance Survey map of Ireland
Q126617074,Our Lady's Well
Q126640856,Tobar Philib
Q126643252,Q126643252
Q126644654,St. Patrick’s well
Q126645328,Q126645328
Q126646306,Lady’s Well
Q126647640,Well of the rags
Q126648035,St. Synan’s Well
Q126649228,Lacken Well
Q126655791,Caereeachth Well
Q126657210,St. David's Well
Q126661717,Tubberafauna
Q126662780,St Broondhawn's Well
Q126664812,St. Kieran's holy well
Q126665980,St. Kieran's holy well
Q126678913,Tubbernacruchnee
Q126678959,Tubbernacrusha
Q126680965,St. Nicholas's Well
Q126681001,Tubberphawdhrig
Q126681256,St Briget's Well
Q126685062,Lacken Well
Q126685172,St. Kieran's well
Q126685288,John Locke: The Old Abbey Well
Q126689104,Gardens
Q126690925,Kilbride River
Q126698081,Mill Island Mill Race
Q126701362,"The diary of an Irish countryman, 1827-1835"
Q126871352,Q126871352
Q126875543,Q126875543
Q126876178,Broochgarrig
Q126878516,St. Michael's Well
Q126879339,Ballyda Holy Well
Q126880147,Ballyneale Holy Well
Q126880801,St. Lawrence’s Well
Q126881319,Ballyreddy Holy Well
Q126888497,St. Patrick’s Well
Q126888518,Tubber na Cruchthanee
Q126888633,Q126888633
Q126888828,Lady’s Well
Q126889963,Clogharinka Holy Well
Q126890019,Clonmore Holy Well
Q126890179,St. Mary’s Well
Q126891080,Derrynahinch Holy Well
Q126891133,Donaguile Well
Q126891207,St. Patrick’s Well
Q126891250,Nanny’s Well
Q126903104,Liber primus Kilkenniensis
Q126903155,Garryduff Holy Well
Q126908400,Tubberathoggarth
Q126908453,Glenmore
Q126908675,St. Berchan's Well
Q126908814,Q126908814
Q126910577,Kildalton Holy Well
Q126917635,Briagoyne
Q126917639,Q126917639
Q126918872,Kilfane Holy Well
Q126918993,Kilkeasy Holy Well
Q126919152,Tubberkilkierawn
Q126919273,Friar's Well
Q126919343,Tobar Brigid
Q126919511,Toberachreen
Q126919579,St. Mogarra’s Well
Q126923120,Kilmog Holy Well
Q126923187,Kilmogue Holy Well
Q126923572,Maudlin Holy Well
Q126923720,Muckalee Holy Well
Q126928234,Templeorum Well
Q126946350,Lady's Well
Q126946514,Cloghvickree
Q126946657,St. Philomena’s Well
Q126949259,Rathlogan Holy Well
Q126949628,Riesk Holy Well
Q126949787,Rossdama holy well
Q126949808,Loughman’s Well
Q127047665,Carranroe holy well
Q127048193,Saint Laurence's Well
Q127278423,Facsimile Edition of Kilkenny City and County Guide and Directory
Q127278549,Nooks and Corners of County Kilkenny by Paris Anderson
Q127278616,Pages of Kilkenny's Story written by May Sparks with Drawings by Eric Bligh
Q127432104,John Joyce: Graiguenamanagh: A Town And Its People
Q127433772,Graigue holy well
Q127524368,1871 Ordnance Survey map of Ireland
Q127605637,Irish Tourist Association Photographic Collection
Q127605912,Kilkenny Its Architecture and History
Q127606032,Joseph C. O'Carroll: Historic Kilkenny
Q127619817,"Kilkenny: The Ancient City of Ossory, The Seat of Its Kings, The See of Its Bishops and the Site of Its Cathedral by John Hogan, Mayor of Kilkenny, 1883"
Q127691937,Kilkenny Its Architecture and History (1977)
Q1277655,Dallán Forgaill
Q127813016,"Denis O'Carroll: Historical Sketches of the parishes of Castlecomer, Ballyragget, Connahy, Muckalee & Clogh with Householders'  Directory, Songs, Poems and Reminiscence, &c."
Q127815620,Mary Tallent: On the Banks of the Nore
Q127816174,Kilkenny Journal
Q127818015,"All Saints Church, Newtown"
Q127818587,"History of Thomastown and District, 2nd edition"
Q127869275,The Echo of Familiar Voices
Q128033900,"An Historical Survey of St. John's, Kilkenny"
Q128034009,The History and Antiquities of the Parish of Dunnamaggan in the Diocese of Ossory
Q128034982,Colm O Cochlain: Kyteler's Inn (1987)
Q128144530,St Thomas' Well
Q128234462,Graiguenamanagh Abbey
Q128304583,The Happy Valley
Q128304747,Parish of Templeorum a historical miscellany
Q128305997,"Callan County Kilkenny (A Short Guide to Its History, Monuments and People)"
Q128306212,The Parish of Ballyragget Diocese of Ossory
Q128308754,"Tullamaine, Newtown & Mallardstown History & Heritage"
Q128609273,Kilkenny City & County
Q128611740,750 Years of the Black Abbey 1225-1975
Q128613270,Pat Tynan: Kilkenny History & Guide
Q128694249,Seán Swayne: The Old Grey Mouse
Q128694385,James Murphy: Rosbercon Parish - a history in song & story
Q128799983,History of Thomastown and District (1953)
Q129086114,Christopher Walshe: A Place of Memories
Q129086805,Kathleen Laffan: The History of Kilmacow
